player_name,season,pos,age,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws_per_48,obpm,dbpm,bpm,vorp,mp,pk
Jason Richardson,2011,SG,30,14.96489871,0.5535443831,0.4579952118,0.1485626151,2.895801105,11.0939779,9.186132597,1.7853407,0.3853406998,7.850791897,20.61149171,2.762044199,2.733517495,0.122827256,1.210460405,0.504198895,1.6646593,1.953406998,2868,5
Jason Smith,2011,C,24,10.8,0.49,0.007,0.228,9.8,16.9,5.3,1.3,2.4,13.6,16.9,0.2,1.4,0.07,-3.6,0.1,-3.5,-0.4,1160,20
Jason Terry,2011,SG,33,15.9,0.545,0.322,0.196,1.1,5.7,22.2,1.9,0.4,12.4,24.7,2.8,2.5,0.1,1,-0.1,0.9,1.9,3248,10
Jason Thompson,2011,PF,24,13.6,0.533,0.006,0.375,9.1,20.7,7.9,0.8,1.8,13.7,17.9,1.4,1.5,0.079,-1.7,-0.5,-2.2,-0.1,1748,12
Jason Williams,2011,PG,35,8.386949153,0.4033677966,0.5675050847,0,1.208644068,10.59118644,25.10966102,1.99779661,0.2971186441,21.16949153,13.2079661,-0.15,0.3079661017,0.03086101695,-2.281864407,0.7013559322,-1.580508475,0.02898305085,295,7
JaVale McGee,2011,C,23,17.4,0.566,0.005,0.381,11.2,22.2,2.8,1,6.7,12.6,16.3,2.7,2.5,0.115,-0.7,0.4,-0.4,0.9,2193,18
Jawad Williams,2011,SF,27,4.8,0.396,0.357,0.095,2,12.4,9,1.2,0.6,10.9,17.1,-0.6,0.1,-0.067,-5.5,-1.4,-6.8,-0.5,391,61
Jeff Adrien,2011,PF,24,11.3,0.457,0,0.352,13,20.7,7.3,1,1.9,12.6,16.1,0.1,0.1,0.051,-3.3,-2,-5.3,-0.2,196,61
Jeff Foster,2011,C,34,14.3,0.497,0.018,0.287,19.1,22.3,7.3,1.3,2.4,12.1,10.1,1.6,1.4,0.152,-0.6,0.1,-0.5,0.4,1033,21
Jeff Green,2011,PF-SF,24,12.9,0.5380216316,0.2568226205,0.2978955501,3.699567367,13.47478368,7.19697157,1.1,1.101297899,9.611742892,19.46304079,1.973485785,1.849567367,0.09490852905,-0.6012978986,-0.4856613103,-1.086959209,0.3873918418,2600,5
Jeff Teague,2011,PG,22,14.6,0.521,0.158,0.319,1.4,11.3,23.3,2.5,2,15.6,20.3,0.4,1.2,0.083,-0.8,1.3,0.5,0.6,1201,19
